id,amount,side,instrument,from,to,open,close,pl
1,921,Sell,BNP.PA,2000-02-13T23:00:00Z,2000-02-20T23:00:00Z,16.479897,17.198246,-661.599429
2,687,Buy,GLE.PA,2000-02-13T23:00:00Z,2000-02-20T23:00:00Z,21.545063,22.428932,607.218003
3,853,Buy,BNP.PA,2000-02-22T23:00:00Z,2000-02-24T23:00:00Z,17.346149,17.388424,36.060575
4,653,Sell,GLE.PA,2000-02-22T23:00:00Z,2000-02-24T23:00:00Z,23.257586,22.550467,461.748707
5,849,Buy,BNP.PA,2000-02-28T23:00:00Z,2000-02-29T23:00:00Z,17.325016,17.705328,322.884888
6,642,Sell,GLE.PA,2000-02-28T23:00:00Z,2000-02-29T23:00:00Z,23.787918,23.699526,56.747664
7,847,Sell,BNP.PA,2000-03-02T23:00:00Z,2000-03-09T23:00:00Z,18.233545,17.980001,214.751768
8,629,Buy,GLE.PA,2000-03-02T23:00:00Z,2000-03-09T23:00:00Z,23.091881,22.097456,-625.493325
9,809,Buy,BNP.PA,2000-03-15T23:00:00Z,2000-03-19T23:00:00Z,18.106770,17.874372,-188.009982
10,669,Sell,GLE.PA,2000-03-15T23:00:00Z,2000-03-19T23:00:00Z,22.937193,22.185850,502.648467
11,838,Buy,BNP.PA,2000-03-23T23:00:00Z,2000-03-26T22:00:00Z,17.641964,17.874372,194.757904
12,677,Sell,GLE.PA,2000-03-23T23:00:00Z,2000-03-26T22:00:00Z,22.451038,22.196930,172.031116
13,836,Buy,BNP.PA,2000-03-30T22:00:00Z,2000-04-03T22:00:00Z,17.430696,19.163166,1448.344920
14,669,Sell,GLE.PA,2000-03-30T22:00:00Z,2000-04-03T22:00:00Z,23.025593,25.633070,-1744.402113
15,828,Sell,BNP.PA,2000-04-18T22:00:00Z,2000-04-19T22:00:00Z,18.465952,18.487082,-17.495640
16,630,Buy,GLE.PA,2000-04-18T22:00:00Z,2000-04-19T22:00:00Z,23.312840,24.207794,563.821020
17,308,Buy,BNP.PA,2000-04-20T22:00:00Z,2000-04-24T22:00:00Z,18.155327,19.184301,316.923992
18,237,Sell,GLE.PA,2000-04-20T22:00:00Z,2000-04-24T22:00:00Z,102.723022,25.089439,18399.159171
19,334,Buy,BNP.PA,2000-04-30T22:00:00Z,2000-05-01T22:00:00Z,18.445797,18.994169,183.156248
20,216,Sell,GLE.PA,2000-04-30T22:00:00Z,2000-05-01T22:00:00Z,110.088875,26.729445,18005.636880
21,809,Sell,BNP.PA,2000-05-25T22:00:00Z,2000-06-01T22:00:00Z,20.488441,21.651022,-940.528029
22,492,Buy,GLE.PA,2000-05-25T22:00:00Z,2000-06-01T22:00:00Z,27.219135,29.155231,952.559232
23,741,Sell,BNP.PA,2000-06-07T22:00:00Z,2000-06-08T22:00:00Z,21.782640,21.716854,48.747426
24,482,Buy,GLE.PA,2000-06-07T22:00:00Z,2000-06-08T22:00:00Z,28.699696,29.405788,340.336344
25,724,Sell,BNP.PA,2000-06-14T22:00:00Z,2000-06-15T22:00:00Z,22.287176,21.541349,539.978748
26,474,Buy,GLE.PA,2000-06-14T22:00:00Z,2000-06-15T22:00:00Z,29.155231,28.927467,-107.960136
27,745,Sell,BNP.PA,2000-06-18T22:00:00Z,2000-06-20T22:00:00Z,21.694912,21.387783,228.811105
28,494,Buy,GLE.PA,2000-06-18T22:00:00Z,2000-06-20T22:00:00Z,27.925224,28.107470,90.029524
29,745,Sell,BNP.PA,2000-06-27T22:00:00Z,2000-06-29T22:00:00Z,21.936203,22.111713,-130.754950
30,495,Buy,GLE.PA,2000-06-27T22:00:00Z,2000-06-29T22:00:00Z,27.515226,28.699696,586.312650
31,699,Sell,BNP.PA,2000-07-05T22:00:00Z,2000-07-10T22:00:00Z,23.033001,23.230452,-138.018249
32,477,Buy,GLE.PA,2000-07-05T22:00:00Z,2000-07-10T22:00:00Z,29.109699,28.995794,-54.332685
33,708,Buy,BNP.PA,2000-07-12T22:00:00Z,2000-07-16T22:00:00Z,22.155561,22.484625,232.977312
34,508,Sell,GLE.PA,2000-07-12T22:00:00Z,2000-07-16T22:00:00Z,28.152992,28.221371,-34.736532
35,711,Sell,BNP.PA,2000-07-18T22:00:00Z,2000-07-20T22:00:00Z,22.638189,22.440737,140.388372
36,497,Buy,GLE.PA,2000-07-18T22:00:00Z,2000-07-20T22:00:00Z,27.925224,27.834110,-45.283658
37,681,Buy,BNP.PA,2000-07-25T22:00:00Z,2000-07-30T22:00:00Z,22.923326,23.362068,298.783302
38,485,Sell,GLE.PA,2000-07-25T22:00:00Z,2000-07-30T22:00:00Z,29.633562,30.521887,-430.837625
39,714,Sell,BNP.PA,2000-08-02T22:00:00Z,2000-08-06T22:00:00Z,22.660088,23.274298,-438.545940
40,478,Buy,GLE.PA,2000-08-02T22:00:00Z,2000-08-06T22:00:00Z,28.813557,30.020771,577.048292
41,655,Buy,BNP.PA,2000-08-22T22:00:00Z,2000-08-23T22:00:00Z,23.910448,23.734982,-114.930230
42,465,Sell,GLE.PA,2000-08-22T22:00:00Z,2000-08-23T22:00:00Z,30.817974,30.180208,296.561190
43,671,Buy,BNP.PA,2000-08-27T22:00:00Z,2000-09-04T22:00:00Z,23.449800,22.923326,-353.264054
44,471,Sell,GLE.PA,2000-08-27T22:00:00Z,2000-09-04T22:00:00Z,30.225792,31.045750,-386.200218
45,701,Buy,BNP.PA,2000-09-13T22:00:00Z,2000-09-17T22:00:00Z,22.462683,22.287176,-123.030407
46,455,Sell,GLE.PA,2000-09-13T22:00:00Z,2000-09-17T22:00:00Z,31.319092,30.817974,228.008690
47,721,Sell,BNP.PA,2000-09-18T22:00:00Z,2000-09-25T22:00:00Z,22.243330,21.870419,268.868831
48,460,Buy,GLE.PA,2000-09-18T22:00:00Z,2000-09-25T22:00:00Z,30.248531,29.314671,-429.575600
49,736,Sell,BNP.PA,2000-09-26T22:00:00Z,2000-09-27T22:00:00Z,21.892317,21.936203,-32.300096
50,487,Buy,GLE.PA,2000-09-26T22:00:00Z,2000-09-27T22:00:00Z,28.494675,28.950207,221.844084
51,726,Buy,BNP.PA,2000-10-02T22:00:00Z,2000-10-03T22:00:00Z,21.716854,21.914265,143.320386
52,487,Sell,GLE.PA,2000-10-02T22:00:00Z,2000-10-03T22:00:00Z,29.200766,28.790821,199.643215
53,731,Sell,BNP.PA,2000-10-04T22:00:00Z,2000-10-08T22:00:00Z,21.892317,21.168430,529.161397
54,490,Buy,GLE.PA,2000-10-04T22:00:00Z,2000-10-08T22:00:00Z,28.517456,27.697468,-401.794120
55,754,Buy,BNP.PA,2000-10-09T22:00:00Z,2000-10-11T22:00:00Z,20.971029,19.698723,-959.318724
56,510,Sell,GLE.PA,2000-10-09T22:00:00Z,2000-10-11T22:00:00Z,27.765789,25.055281,1382.359080
57,806,Sell,BNP.PA,2000-10-12T22:00:00Z,2000-10-15T22:00:00Z,20.005806,19.983908,17.649788
58,546,Buy,GLE.PA,2000-10-12T22:00:00Z,2000-10-15T22:00:00Z,25.374165,26.308020,509.884830
59,745,Buy,BNP.PA,2000-10-24T22:00:00Z,2000-10-30T23:00:00Z,21.212324,22.287176,800.764740
60,497,Sell,GLE.PA,2000-10-24T22:00:00Z,2000-10-30T23:00:00Z,28.540257,30.476299,-962.212874
61,713,Sell,BNP.PA,2000-11-01T23:00:00Z,2000-11-02T23:00:00Z,22.418798,22.265234,109.491132
62,465,Buy,GLE.PA,2000-11-01T23:00:00Z,2000-11-02T23:00:00Z,30.066351,30.407970,158.852835
63,719,Buy,BNP.PA,2000-11-06T23:00:00Z,2000-11-07T23:00:00Z,21.936203,22.155561,157.718402
64,466,Sell,GLE.PA,2000-11-06T23:00:00Z,2000-11-07T23:00:00Z,30.476299,30.066351,191.035768
65,733,Sell,BNP.PA,2000-11-08T23:00:00Z,2000-11-13T23:00:00Z,22.111713,21.738800,273.345229
66,476,Buy,GLE.PA,2000-11-08T23:00:00Z,2000-11-13T23:00:00Z,28.950207,29.838526,422.839844
67,746,Buy,BNP.PA,2000-11-15T23:00:00Z,2000-11-19T23:00:00Z,20.400660,20.159367,-180.004578
68,486,Sell,GLE.PA,2000-11-15T23:00:00Z,2000-11-19T23:00:00Z,30.339649,29.018576,642.041478
69,789,Buy,BNP.PA,2000-12-05T23:00:00Z,2000-12-06T23:00:00Z,19.918074,20.334875,328.855989
70,479,Sell,GLE.PA,2000-12-05T23:00:00Z,2000-12-06T23:00:00Z,29.792995,29.633562,76.368407
71,784,Buy,BNP.PA,2000-12-07T23:00:00Z,2000-12-11T23:00:00Z,20.159367,21.146488,773.902864
72,468,Sell,GLE.PA,2000-12-07T23:00:00Z,2000-12-11T23:00:00Z,30.248531,31.023010,-362.456172
73,765,Sell,BNP.PA,2000-12-12T23:00:00Z,2000-12-17T23:00:00Z,21.036816,20.378716,503.446500
74,455,Buy,GLE.PA,2000-12-12T23:00:00Z,2000-12-17T23:00:00Z,30.521887,29.770206,-342.014855
75,777,Sell,BNP.PA,2000-12-18T23:00:00Z,2000-12-19T23:00:00Z,20.751677,19.720669,801.093216
76,470,Buy,GLE.PA,2000-12-18T23:00:00Z,2000-12-19T23:00:00Z,29.451323,28.676903,-363.977400
77,755,Buy,BNP.PA,2001-01-03T23:00:00Z,2001-01-08T23:00:00Z,20.751677,20.861351,82.803870
78,449,Sell,GLE.PA,2001-01-03T23:00:00Z,2001-01-08T23:00:00Z,31.888540,32.184628,-132.943512
79,764,Sell,BNP.PA,2001-01-09T23:00:00Z,2001-01-16T23:00:00Z,21.102648,22.002037,-687.133196
80,434,Buy,GLE.PA,2001-01-09T23:00:00Z,2001-01-16T23:00:00Z,31.888540,33.460159,682.082646
81,739,Sell,BNP.PA,2001-01-21T23:00:00Z,2001-01-24T23:00:00Z,21.782640,21.256208,389.033248
82,430,Buy,GLE.PA,2001-01-21T23:00:00Z,2001-01-24T23:00:00Z,32.275742,31.592455,-293.813410
83,747,Buy,BNP.PA,2001-02-04T23:00:00Z,2001-02-05T23:00:00Z,21.124542,21.102648,-16.354818
84,445,Sell,GLE.PA,2001-02-04T23:00:00Z,2001-02-05T23:00:00Z,31.843004,31.478537,162.187815
85,755,Sell,BNP.PA,2001-02-11T23:00:00Z,2001-02-14T23:00:00Z,21.300051,21.014872,215.310145
86,448,Buy,GLE.PA,2001-02-11T23:00:00Z,2001-02-14T23:00:00Z,30.977415,30.886303,-40.818176
87,774,Buy,BNP.PA,2001-02-15T23:00:00Z,2001-02-22T23:00:00Z,20.488441,19.238077,-967.781736
88,467,Sell,GLE.PA,2001-02-15T23:00:00Z,2001-02-22T23:00:00Z,30.248531,29.451323,372.296136
89,816,Buy,BNP.PA,2001-02-27T23:00:00Z,2001-03-04T23:00:00Z,19.479376,19.172249,-250.615632
90,465,Sell,GLE.PA,2001-02-27T23:00:00Z,2001-03-04T23:00:00Z,30.271326,29.610765,307.160865
91,809,Sell,BNP.PA,2001-03-06T23:00:00Z,2001-03-11T23:00:00Z,20.159367,20.049688,88.730311
92,450,Buy,GLE.PA,2001-03-06T23:00:00Z,2001-03-11T23:00:00Z,30.362442,30.430759,30.742650
93,818,Sell,BNP.PA,2001-03-14T23:00:00Z,2001-03-22T23:00:00Z,19.852285,19.150301,574.222912
94,468,Buy,GLE.PA,2001-03-14T23:00:00Z,2001-03-22T23:00:00Z,29.337465,27.720251,-756.856152
95,756,Buy,BNP.PA,2001-03-29T22:00:00Z,2001-04-02T22:00:00Z,20.905191,20.334875,-431.158896
96,444,Sell,GLE.PA,2001-03-29T22:00:00Z,2001-04-02T22:00:00Z,31.888540,30.362442,677.587512
97,755,Sell,BNP.PA,2001-04-10T22:00:00Z,2001-04-17T22:00:00Z,21.300051,21.541349,-182.179990
98,431,Buy,GLE.PA,2001-04-10T22:00:00Z,2001-04-17T22:00:00Z,32.252956,33.050156,343.593200
99,729,Sell,BNP.PA,2001-04-18T22:00:00Z,2001-04-22T22:00:00Z,22.002037,21.343937,479.754900
100,421,Buy,GLE.PA,2001-04-18T22:00:00Z,2001-04-22T22:00:00Z,33.050156,32.617424,-182.180172
101,740,Sell,BNP.PA,2001-04-25T22:00:00Z,2001-04-26T22:00:00Z,21.694912,21.914265,-162.321220
102,424,Buy,GLE.PA,2001-04-25T22:00:00Z,2001-04-26T22:00:00Z,32.845181,33.984077,482.891904
103,732,Sell,BNP.PA,2001-04-29T22:00:00Z,2001-05-01T22:00:00Z,21.980095,21.497503,353.257344
104,419,Buy,GLE.PA,2001-04-29T22:00:00Z,2001-05-01T22:00:00Z,33.118542,32.731281,-162.262359
105,767,Sell,BNP.PA,2001-05-03T22:00:00Z,2001-05-06T22:00:00Z,21.168430,21.080704,67.285842
106,447,Buy,GLE.PA,2001-05-03T22:00:00Z,2001-05-06T22:00:00Z,30.749649,31.296299,244.352550
107,734,Sell,BNP.PA,2001-05-09T22:00:00Z,2001-05-10T22:00:00Z,21.892317,21.936203,-32.212324
